"product-sku";"product-description";"product-title";"category-code";"active";"product-references";"shop-skus";"brand";"update-delete";"product-url";"media-url";"authorized-shop-ids";"variant-group-code";"logistic-class";"error-line";"error-message"
"MINI00097496";"The most comfortable, the Cole Pants from Mini A Ture will become a wardrobe staple for your little adventurer.";"Cole Pants, Sandshell - 2y";"Pants";"true";"";"2145|5712691406959";"Mini A Ture";"update";"https://app.salsify.com/catalogs/bde3b2ed-82da-4518-855e-f547c529b65d/products/MINI00097496";"https://images.salsify.com/image/upload/s--17mzaJfB--/e_trim/if_w_lt_1900_or_h_lt_1900,c_mpad,ar_1:1,bo_115px_solid_white/if_else,c_pad,h_1920,w_1920,bo_320px_solid_white/d36lakxqooi6mz7taes0.jpg";"2145";"Cole Pants, Sandshell";"";"189";"The shop reference is duplicated in the source file"
"MINI00097584";"Your little one will love the soft feel of this casual tee from Mini A Ture. It is a swim/sun tee with UV50 protection to keep your little safe from those rays!";"Gani Swim Tee-Shirt, Yellow Anise Flower - 18m-2y";"Tees";"true";"";"2145|5712691393082";"Mini A Ture";"update";"https://app.salsify.com/catalogs/bde3b2ed-82da-4518-855e-f547c529b65d/products/MINI00097584";"https://images.salsify.com/image/upload/s--NWbIKTHP--/e_trim/if_w_lt_1900_or_h_lt_1900,c_mpad,ar_1:1,bo_115px_solid_white/if_else,c_pad,h_1920,w_1920,bo_320px_solid_white/fbxigeiktstsuol8xog1.jpg";"2145";"Gani T-Shirt, Yellow Anise Flower";"";"275";"The shop reference already exists for this shop"
