Maisonette Product ID,Action,Parent ID,Maisonette SKU,Item Name,Image,Season,Vendor SKU Description,Gender,Category,Looks,Edits,Type,Brand,Boutique,Color,Age Range,Assembly Required,Care Instructions,Material,Made to Order,Sizing Notes,Size,Final Sale,Vendor Name,Tax Category,Shipping Category,Margin,Maisonette Retail,Vendor SKU,Box3 Packaged Height,Box2 Packaged Height,Box1 Packaged Height,Box3 Packaged Width/Depth,Box2 Packaged Width/Depth,Box1 Packaged Width/Depth,Box3 Packaged Length,Box2 Packaged Length,Box1 Packaged Length,Box3 Packaged Weight,Box2 Packaged Weight,Box1 Packaged Weight,Number of Boxes,Vendor Recommended Ship Method,Width,Depth,Height,Weight,Lead Time Display,Lead Time,Tariff Codes,MSRP,Manufacturer ID,State Shipping Restrictions,Monogram Font 1,Monogram Font 1 Title,Monogram Font 2,Monogram Font 2 Title,Monogram Font 3,Monogram Font 3 Title,Monogram Font 4,Monogram Font 4 Title,Monogram Font 5,Monogram Font 5 Title,Monogram Font 6,Monogram Font 6 Title,Monogram Font 7,Monogram Font 7 Title,Monogram Font 8,Monogram Font 8 Title,Monogram Font 9,Monogram Font 9 Title,Monogram Font 10,Monogram Font 10 Title,Monogram Font 11,Monogram Font 11 Title,Monogram Font 12,Monogram Font 12 Title,Monogram Font 13,Monogram Font 13 Title,Monogram Font 14,Monogram Font 14 Title,Monogram Font 15,Monogram Font 15 Title,Monogram Color 1,Monogram Color 1 Title,Monogram Color 2,Monogram Color 2 Title,Monogram Color 3,Monogram Color 3 Title,Monogram Color 4,Monogram Color 4 Title,Monogram Color 5,Monogram Color 5 Title,Monogram Color 6,Monogram Color 6 Title,Monogram Color 7,Monogram Color 7 Title,Monogram Color 8,Monogram Color 8 Title,Monogram Color 9,Monogram Color 9 Title,Monogram Color 10,Monogram Color 10 Title,Monogram Color 11,Monogram Color 11 Title,Monogram Color 12,Monogram Color 12 Title,Monogram Color 13,Monogram Color 13 Title,Monogram Color 14,Monogram Color 14 Title,Monogram Color 15,Monogram Color 15 Title,Monogram Character Limit,Monogrammable,Size Guide,Maisonette Cost,Maisonette Sale Price,Available Inventory,Available On,Total Dimensions,Packaging Type,Country of Origin,Vendor SKU Notes,Duties Percentage,Shipping Percentage,Internal Brand,OptionType,OptionValue,Monogram Cost,Monogram Lead Time Display,Monogram Lead Time,Monogramable Only,Backorder Date,Monogram Cost Price,Product Type,Selling Group,Main Category,Internal Gender,Trends,Videos,Is Registry,UPC Barcode
,N,w1717,LBS10113,"Laurent Sequin Dress, Navy","https://images.salsify.com/image/upload/s--ZkruDNBw--/e_trim/if_w_lt_1900_or_h_lt_1900,c_mpad,ar_1:1,bo_115px_solid_white/if_else,c_pad,h_1920,w_1920,bo_320px_solid_white/q7dntpzmiaz2hss5gnb4.jpg;https://images.salsify.com/image/upload/s--h99hSO0o--/e_trim/if_w_lt_1900_or_h_lt_1900,c_mpad,ar_1:1,bo_115px_solid_white/if_else,c_pad,h_1920,w_1920,bo_320px_solid_white/jiycviaupwcyekwaaqm0.jpg",FW17,"The perfect swing dress to twirl into the festive season, this sparkly dress features navy sequins shine on the front, paired with an ultra cool dark denim on the back.",Girl,Kids > Girl Clothing > Dresses;Kids > Girl Clothing;Baby > Girl Clothing > Dresses;Baby;Baby > Girl Clothing;Holiday > Holiday Dressing,"",Best Dressed Sale!;GIFT GUIDE BANNER;GIFT GUIDE HOLIDAY CLASSICS;Holiday Tea Party;JUST IN CLOTHING;Velvet and Shine,Dresses,Lindsey Berns,Lindsey Berns,Navy,12-24m;2-4y,No,Dry Clean,"Navy Metallic Sequins, Denim Back",No,,2y,No,Lindsey Berns,PC030500,Default (Domestic Vendor),0.5,130,flrn2,,,3,,,8,,,12,,,5,,,,,,,1 day,1,0,,w1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,65.0,,,2017-10-12,,,Made in America,,,,,,,,,,,,,Dresses,Kids,Apparel,Girls,,,,
,N,w1717,LBS10114,"Laurent Sequin Dress, Navy","https://images.salsify.com/image/upload/s--ZkruDNBw--/e_trim/if_w_lt_1900_or_h_lt_1900,c_mpad,ar_1:1,bo_115px_solid_white/if_else,c_pad,h_1920,w_1920,bo_320px_solid_white/q7dntpzmiaz2hss5gnb4.jpg;https://images.salsify.com/image/upload/s--h99hSO0o--/e_trim/if_w_lt_1900_or_h_lt_1900,c_mpad,ar_1:1,bo_115px_solid_white/if_else,c_pad,h_1920,w_1920,bo_320px_solid_white/jiycviaupwcyekwaaqm0.jpg",FW17,"The perfect swing dress to twirl into the festive season, this sparkly dress features navy sequins shine on the front, paired with an ultra cool dark denim on the back.",Girl,Kids > Girl Clothing > Dresses;Kids > Girl Clothing;Baby > Girl Clothing > Dresses;Baby;Baby > Girl Clothing;Holiday > Holiday Dressing,"",Best Dressed Sale!;GIFT GUIDE BANNER;GIFT GUIDE HOLIDAY CLASSICS;Holiday Tea Party;JUST IN CLOTHING;Velvet and Shine,Dresses,Lindsey Berns,Lindsey Berns,Navy,2-4y,No,Dry Clean,"Navy Metallic Sequins, Denim Back",No,,3y,No,Lindsey Berns,PC030500,Default (Domestic Vendor),0.5,130,flrn3,,,3,,,8,,,12,,,5,,,,,,,1 day,1,0,,w1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,65.0,,,2017-10-12,,,Made in America,,,,,,,,,,,,,Dresses,Kids,Apparel,Girls,,,,
,N,w1717,LBS10115,"Laurent Sequin Dress, Navy","https://images.salsify.com/image/upload/s--ZkruDNBw--/e_trim/if_w_lt_1900_or_h_lt_1900,c_mpad,ar_1:1,bo_115px_solid_white/if_else,c_pad,h_1920,w_1920,bo_320px_solid_white/q7dntpzmiaz2hss5gnb4.jpg;https://images.salsify.com/image/upload/s--h99hSO0o--/e_trim/if_w_lt_1900_or_h_lt_1900,c_mpad,ar_1:1,bo_115px_solid_white/if_else,c_pad,h_1920,w_1920,bo_320px_solid_white/jiycviaupwcyekwaaqm0.jpg",FW17,"The perfect swing dress to twirl into the festive season, this sparkly dress features navy sequins shine on the front, paired with an ultra cool dark denim on the back.",Girl,Kids > Girl Clothing > Dresses;Kids > Girl Clothing;Baby > Girl Clothing > Dresses;Baby;Baby > Girl Clothing;Holiday > Holiday Dressing,"",Best Dressed Sale!;GIFT GUIDE BANNER;GIFT GUIDE HOLIDAY CLASSICS;Holiday Tea Party;JUST IN CLOTHING;Velvet and Shine,Dresses,Lindsey Berns,Lindsey Berns,Navy,2-4y;4-6y,No,Dry Clean,"Navy Metallic Sequins, Denim Back",No,,4y,No,Lindsey Berns,PC030500,Default (Domestic Vendor),0.5,130,flrn4,,,3,,,8,,,12,,,5,,,,,,,1 day,1,0,,w1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,65.0,,,2017-10-12,,,Made in America,,,,,,,,,,,,,Dresses,Kids,Apparel,Girls,,,,
,N,w1717,LBS10116,"Laurent Sequin Dress, Navy","https://images.salsify.com/image/upload/s--ZkruDNBw--/e_trim/if_w_lt_1900_or_h_lt_1900,c_mpad,ar_1:1,bo_115px_solid_white/if_else,c_pad,h_1920,w_1920,bo_320px_solid_white/q7dntpzmiaz2hss5gnb4.jpg;https://images.salsify.com/image/upload/s--h99hSO0o--/e_trim/if_w_lt_1900_or_h_lt_1900,c_mpad,ar_1:1,bo_115px_solid_white/if_else,c_pad,h_1920,w_1920,bo_320px_solid_white/jiycviaupwcyekwaaqm0.jpg",FW17,"The perfect swing dress to twirl into the festive season, this sparkly dress features navy sequins shine on the front, paired with an ultra cool dark denim on the back.",Girl,Kids > Girl Clothing > Dresses;Kids > Girl Clothing;Baby > Girl Clothing > Dresses;Baby;Baby > Girl Clothing;Holiday > Holiday Dressing,"",Best Dressed Sale!;GIFT GUIDE BANNER;GIFT GUIDE HOLIDAY CLASSICS;Holiday Tea Party;JUST IN CLOTHING;Velvet and Shine,Dresses,Lindsey Berns,Lindsey Berns,Navy,4-6y,No,Dry Clean,"Navy Metallic Sequins, Denim Back",No,,5y,No,Lindsey Berns,PC030500,Default (Domestic Vendor),0.5,130,flrn5,,,3,,,8,,,12,,,5,,,,,,,1 day,1,0,,w1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,65.0,,,2017-10-12,,,Made in America,,,,,,,,,,,,,Dresses,Kids,Apparel,Girls,,,,
,N,w1717,LBS10117,"Laurent Sequin Dress, Navy","https://images.salsify.com/image/upload/s--ZkruDNBw--/e_trim/if_w_lt_1900_or_h_lt_1900,c_mpad,ar_1:1,bo_115px_solid_white/if_else,c_pad,h_1920,w_1920,bo_320px_solid_white/q7dntpzmiaz2hss5gnb4.jpg;https://images.salsify.com/image/upload/s--h99hSO0o--/e_trim/if_w_lt_1900_or_h_lt_1900,c_mpad,ar_1:1,bo_115px_solid_white/if_else,c_pad,h_1920,w_1920,bo_320px_solid_white/jiycviaupwcyekwaaqm0.jpg",FW17,"The perfect swing dress to twirl into the festive season, this sparkly dress features navy sequins shine on the front, paired with an ultra cool dark denim on the back.",Girl,Kids > Girl Clothing > Dresses;Kids > Girl Clothing;Baby > Girl Clothing > Dresses;Baby;Baby > Girl Clothing;Holiday > Holiday Dressing,"",Best Dressed Sale!;GIFT GUIDE BANNER;GIFT GUIDE HOLIDAY CLASSICS;Holiday Tea Party;JUST IN CLOTHING;Velvet and Shine,Dresses,Lindsey Berns,Lindsey Berns,Navy,4-6y;6-8y,No,Dry Clean,"Navy Metallic Sequins, Denim Back",No,,6y,No,Lindsey Berns,PC030500,Default (Domestic Vendor),0.5,130,flrn6,,,3,,,8,,,12,,,5,,,,,,,1 day,1,0,,w1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,65.0,,,2017-10-12,,,Made in America,,,,,,,,,,,,,Dresses,Kids,Apparel,Girls,,,,
,N,w1717,LBS10118,"Laurent Sequin Dress, Navy","https://images.salsify.com/image/upload/s--ZkruDNBw--/e_trim/if_w_lt_1900_or_h_lt_1900,c_mpad,ar_1:1,bo_115px_solid_white/if_else,c_pad,h_1920,w_1920,bo_320px_solid_white/q7dntpzmiaz2hss5gnb4.jpg;https://images.salsify.com/image/upload/s--h99hSO0o--/e_trim/if_w_lt_1900_or_h_lt_1900,c_mpad,ar_1:1,bo_115px_solid_white/if_else,c_pad,h_1920,w_1920,bo_320px_solid_white/jiycviaupwcyekwaaqm0.jpg",FW17,"The perfect swing dress to twirl into the festive season, this sparkly dress features navy sequins shine on the front, paired with an ultra cool dark denim on the back.",Girl,Kids > Girl Clothing > Dresses;Kids > Girl Clothing;Baby > Girl Clothing > Dresses;Baby;Baby > Girl Clothing;Holiday > Holiday Dressing,"",Best Dressed Sale!;GIFT GUIDE BANNER;GIFT GUIDE HOLIDAY CLASSICS;Holiday Tea Party;JUST IN CLOTHING;Velvet and Shine,Dresses,Lindsey Berns,Lindsey Berns,Navy,6-8y;8y+,No,Dry Clean,"Navy Metallic Sequins, Denim Back",No,,8y,No,Lindsey Berns,PC030500,Default (Domestic Vendor),0.5,130,flrn8,,,3,,,8,,,12,,,5,,,,,,,1 day,1,0,,w1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,65.0,,,2017-10-12,,,Made in America,,,,,,,,,,,,,Dresses,Kids,Apparel,Girls,,,,
